,frase,sentimento
3879,Obrigado,positivo
3880,"O atendente citou padrão que, imagino, não se aplique para remanejamento de equipamentos dentro do mesmo setor. Ponderei que era assim mas não houve negociação. Ou estou errado ou o atendente merece um melhor treinamento.",negativo
3881,Eficaz e cordial.,positivo
3882,Atendimento foi prestado com muita rapidez!,positivo
3883,muito satisfeito,positivo
3884,Me informei com o meu colega que é advogado que me explicou que eu não posso tirar férias no período desejado.,neutro
3885,Eficaz,positivo
3886,Muitooooooo Satisfeitooooooo,positivo
3887,Preciso programar o extensor com ramais diretos e tecla de supervisão.,negativo
3888,Muito satisfeito.,positivo
3889,O profissional foi atencioso e competente,positivo
3890,foi otimo,positivo
3891,"Não consegui acessar o site harembr.petrobras.com.br, mas sim o cafe.petrobras.com.br, que ainda é o que funciona. ",negativo
3892,"A área de meu home, foi aumentada, mas não de forma suficiente a atender as necessidades do trabalho que venho realizando com a exportação de poços do sigeo.  Na primeira tentativa de exportar um poço para o meu home, ele ficou novamente 100% cheio, e os dados que queria exportar vieram incompletos. Por favor, aumentar mais a área do meu home: /u/ao7z",neutro
3893,"Serviço fechado com a alegação de não conseguir contato, sendo que atendi a ligação e expliquei qual o problema, e orientei como proceder para ter acesso ao computador(unidade não assistida).",negativo
3894,"O procedimento de abertura de registro por web881 para alterar o privilégio foi informado pela própria TIC em contato telefônico no dia 18/06, que ocorreu 3 semanas depois de aberto o registro original informando o problema no ramal. Até agora, nada resolvido. Sempre tive o privilégio do ramal e sem aviso prévio, deixou de funcionar. Está impactando minhas atividades.",negativo
3895,"A solução depende de desenvolvimento no sistema SAP. Porém o atendimento foi excelente, com analista conhecedor do tema abordado. Obrigada!",positivo
3896,"parabéns pelo ótimo atendimento.  10, NOTA 10!",positivo
3897,"Não entendo o encerramento do chamado, uma vez que o mesmo não foi resolvido e deve haver intervenção do apoio local.",negativo
3898,foi bom,positivo
3899,"A profissional que atendeu não conseguiu entender tecnicamente qual foi a solicitação e passou uma orientação equivocada. Solicitei então que o incidente fosse registrado para a equipe de rede já que o assunto trata-se de cota (tamanho) disponibilizado por gerência e o total que já está sendo utilizado. E agora vejo que o incidente não foi encaminhado como a profissional disse, mas sim foi fechado. Portanto, chamado não foi resolvido. Aguardo contato se não terei que abrir um novo incidente.",negativo
3900,"Gerente setorial recusado como aprovador, ao invés de automaticamente encaminhar para a gerência superior será necessário abrir um novo chamado. Dificuldade em realizar o chamado novamente visto que o acesso via Lotus Notes a partir da sonda é muito lento.",negativo
3901,OTIMO ATENDIMENTO,positivo
3902,EXCELENTE ATENDIMENTO. RÁPIDO E EFICIENTE. OBRIGADO!,positivo
3903,Excelente,positivo
3904,Ótimo!,positivo
3905,"ótimo atendimento, com agilidade e prestesa. ",positivo
3906,ATENDIMENTO ATENCIOSO E EFETIVO.,positivo
3907,"Parabéns a equipe do 881, ",positivo
3908,muito bom atendimento,positivo
3909,Chamado resolvido parcialmente,neutro
3910,"Atendente exclusivo do troca senha, o qual foi resolvido problema com a senha extranet.  Atendeu também solicitação do problema com o módulo de segurança do sistema bancário, que pertencia a outro canal de atendimento, sem a necessidade da minha outra solicitação ser transferida.  Resolveu dois problemas em uma única solicitação.",positivo
3911,Muito atencioso no serviço se deslocando até a estação.,positivo
3912,Procedimento demorado,negativo
3913,Atendimento rápido e eficiente.,positivo
3914,Estamos muito satisfeitos com o pronto atendimento da tarefa. Parabéns equipe da manutenção em telefonia fixa da TIC!,positivo
3915,O mouse substituido é usado. Mas foi informado anteriormente pela equipe do TIC.,neutro
3916,Módulo de segurança operacional no explorer e mozila. Instalaçao OK,positivo
3917,"Atendimento parcialmente atendido. Devido a instalibidade da rede o atendente não pode mapear a unidade solicitada, porém executou uma alternativa viável, resolvendo o problema.",neutro
3918,Parabéns pela rapidez no atendimento,positivo
3919,Excelente. Substituido no mesmo dia.,positivo
3920,Muito bem atendido! ,positivo
3921,Questionei do porquê do Notes ter duplicado os grupos e a informação foi vaga e me sinalizou de eu ter que manualmente excluir grupo duplicado.,negativo
3922,parabens pelo atendimento e muita atenção e deste tipos de proficionais que precisamos emn nosso Brasil e me sinto orgulhoso de ter pessoas tão copetentes e principalmente atenciosa parabens ,positivo
3923,"O micro estava lento. O técnico Gustavo veio ao local e, alterando configurações de memória (antes a RAM estendia-se usando a memória de vídeo) a velocidade aumentou consideravelmente. Obrigado!",neutro
3924,"Atendimento excessivamente demorado para uma ação simples. A TIC necessita de um código que não utilizamos para instalar as impressoras (por exemplo, nós utilizamos impressora J1** e a TIC pede o IM000***). Como as impressoras ficam nos corredores, geralmente distantes, o chamado fica mais demorado. Sugiro que o suprimento das impressoras seja feito todo final de expediente, pois assim evita que no início do expediente seguinte a impressora amanheça sem suprimento. E também criem um atendimento mais rápido (padrão) para este tipo de solicitação, porque além de ficar aguardando o documento que será impresso para entregar a alguém ou da continuidade a trabalho que vem realizando, não podemos fazer outra atividade por causa da demora na abertura do chamado para pedir suprimento.",negativo
3925,Excelente atendimento. Presteza e eficácia.,positivo
3926,Agradeço a presteza no atendimento.,positivo
3927,So não consequi recuperar os meus arquivos.,negativo
3928,Atendimento ótimo !  parabéns,positivo
3929,"Fui orientado a acessar por outro caminho, mas via SAP APPV-V não foi conseguido resolver",negativo
3930,Extrema cordialidade do atendente e conhecimento sobre o assunto.,positivo
3931,Agradeço a eficiência pelo atendimento.,positivo
3932,"Muito bom pelo atendimento e satisfeito pelo resultado prestado pelo funcionário ""Leonardo"", diante da resolução do problema posto.",positivo
3933,"Segundo atendente, não há como verificar o chamado.",negativo
3934,ótimo atendimento,positivo
3935,O link não estava correto e foi detectado pelo Atendente,neutro
3936,"Muito eficiente o rapaz que veio aqui realizar o trabalho. O meu computador ficou excelente, muito mais rapido. Atendimento VIP",positivo
3937,atendimento cordial e eficiente,positivo
3938,Atendimento bastante atencioso e o problema foi resolvido em definitivo.,positivo
3939,Sem comentários,neutro
3940,Excelente atendimento,positivo
3941,"a equipe de apoio logou chegou para atender o chamado aberto às 9h somente às 14h, quando o computador já estava ok, depois de inúmeras tentativas minhas, o computador funcionou por si só. Devido à minha urgência no atendimento de demandas, não pude cancelar o chamado. ",negativo
3942,"Percebeu-se controvérsias no entendimento do atendente, pelo que não obtivemos êxito na identificação do problema.",negativo
3943,Rápido e eficiente,positivo
3944,excelente atendimento,positivo
3945,Muito bom atendimento,positivo
3946,"Foi atendida muito bem, o atendente foi paciente, solucionou meu problema e esclareceu minhas dúvidas.",positivo
3947,"ATENDENTE NÃO ME DAVA OPORTUNIDADE PARA FALAR/EXPLICAR, JÁ TOMANDO CONCLUSÕES  ANTES DE MINHA EXPOSIÇÃO COMPLETA.",negativo
3948,Atendimento rápido e preciso de parabens,positivo
3949,"Atendimento rápido, excelente.",positivo
3950,Foi muito bem resolvida meu problema foi resolvido e minha dúvidas sanadas. Gostaria de ressaltar a paciência e a proatividade da atendente.,positivo
3951,A atendente foi muito atenciosa e resolveu o meu pedido,positivo
3952,Excelente Atendimento prestado pelo Guedes,positivo
3953,O Atendente foi muito prestativo. Muito bom.,positivo
3954,O atendimento da Maraisa foi excepcional.Parabéns a equipe de TIC pela escolha. ,positivo
3955,Atendente muito atencioso. Obrigada pela atendimento. ,positivo
3956,MUITO SATISFEITO COM ATENDIMENTO PRESTADO.,positivo
3957,Atendimento super eficiente!,positivo
3958," O atendimento foi excelente e rápido, muito obrigado !",positivo
3959,Atendimento cordial e resolutivo.,positivo
3960,Atendimento bem rápido.,positivo
3961,Rapidez e eficiência no atendimento.,positivo
3962,Muito obrigado!,positivo
3963,"Espero que consiga unificar o localizador de pessoas com todo o sistema Petrobras. Do jeito que está, esta pessimo.",neutro
3964,Ótimo Atendimento.,positivo
3965,MUITO BOM,positivo
3966,Obrigado pelo apoio.,positivo
3967,Parabéns a Equipe,positivo
3968,"Serviço realizado com qualidade, eficiência e rapidez.",positivo
3969,Foi muito bem resolvida meu problema foi resolvido e minha dúvidas sanadas.,positivo
3970,Infelizmente fui informado que não há como uma pessoa participar de uma video conferência apenas pelo telefone. Esse é um recurso que já vi em outras empresas e sugiro que a TIC invista na mesma. Att.,neutro
3971,O atendimento foi muito bom. Estou satisfeito,positivo
3972,Resolvido rápido e eficientemente. Ótimo atendimento. ,positivo
3973,Excelente atendimento,positivo
3974,Excelente atendimento !,positivo
3975,"Atendente foi educada e trabalhou bem. Mas a TIC está com burocracia demais para liberar algo tão simples como compartilhamento de tela. Não é acesso remoto, não precisa capturar o computador . É simplesmente compartilhar a tela, algo que um skype faria. O Microsoft Lync faz isso muito bem, é da Microsoft, grandes empresas usam, mas não temos. Não temos nenhum programa simples que seja exclusivamente para compartilhar a tela (enquanto se conversa por telefone com a outra pessoa).",negativo
3976,Chamado executado com rapidez.,positivo
3977,"Porém ,ainda está em ""andamento"",por se tratar de questão condizente a plataforma de dados Sd 2000 Plus.Aguardando o contato da ""mesa sd 2000"".",neutro
3978,Foi resolvido o problema. Parabéns pela atenção.  ,positivo
3979,Excelente!,negativo
3980,"Bom atendimento, Eficiente",negativo
3981,Obrigado pelo atendimento,positivo
3982,Atendimento excelente,positivo
3983,"O técnico Vilson é sempre solícito, simpático e ágil no atendimento. Parabéns!",positivo
3984,"A instalação ainda não aconteceu. Fui orientada a enviar uma nota para a chave LMC2, o que fiz, e estou aguardando a instalação.",neutro
3985,"A compra de Webcam e Microfone são serviços disponibilizados pelo Botão TIC, entretanto o atendente da solicitação se recusou a realizar o serviço sem a emissão de um DIP. Se é necessário um DIP, o serviço não deveria fazer parte das opções do botão TIC.",negativo
3986,Excelente o atendimento prestado.,positivo
3987,A Atendente foi muito educada e cordial.,positivo
3988,Atendimento Rápido e eficiente,positivo
3989,aguardando liberação,neutro
3990,Obrigado,positivo
3991,OTIMO,positivo
3992,Meu chamado foi reencaminhado para outro setor.,neutro
3993,Obrigado a Renata,positivo
3994,muito satisfeito,positivo
3995,Serviço efetuado com qualidade e presteza,positivo
3996,Técnico muito prestativo e atencioso,positivo
3997,PROFISSIONAL ALEXANDRE MAGNO MUITO EFICIENTE.,positivo
3998,"Não foi resolvido, mas fui bem informado pela TIC.",negativo
3999,aguardando liberação,neutro
4000,"Atendente foi atencioso, paciente e me orientou da melhor forma possível.",positivo
4001,"Não entendi o motivo deste chamado. Solicitei a instalação de um aplicativo, dei o telefone e me ligaram em outro informando que não conseguiram falar comigo. Frisei o telefone correto e abriram um chamado em meu nome enviando a pesquisa de satisfação como se o problema tivesse sido resolvido.  Continuo sem a instalação do software.  Se o chamado foi aberto para colocar a minha resposta no chamado, não faz sentido, uma vez que o telefone estava informado desde o princípio.",neutro
4002,Parabenizar o empregado Anderson pela presteza e profissionalidade.,positivo
4003,"SUGIRO QUE ATENDIMENTOS DESTA NATUREZA SEJAM PRONTAMENTE AMPARADOS PELA POSSIBILIDADE DE TROCA IMEDIATA DO DESKTOP DO COLABORADOR POR OUTRO, EVITANDO QUE O MESMO PERMANEÇA 48 HORAS OU MAIS SEM RECURSO DE TRABALHO.",negativo
4004,ótimo atendimento,positivo
4005,Atendimento muito efetivo.,positivo
4006,atendimento muito satisfatório.,positivo
4007,"excelente o atendimento do atendente, muito claro e explicativo, além de resolver o problema ele explicou como é feito o back up, gostei bastante.",positivo
4008,Excelente atendimento. Parabéns!,positivo
4009,Excelente atendimento!,positivo
4010,BOM ATENDIMENTO.,positivo
4011,o atendimento foi perfeito. ,positivo
4012,Excelente atendimento e conclusão da tarefa.,positivo
4013,A atendente foi atenciosa e demonstrou interesse e proatividade na solução do problema.,positivo
4014,MUITO BOM,positivo
4015,satisfeita,positivo
4016,Fui prontamente atendida. Obrigada,positivo
4017,"O suporte dado para o primeiro acesso foi muito bem feito, explicando de forma detalhada e didática o processo.",positivo
4018,Gostaria de ressaltar a competência do Marcelo. obrigada,positivo
4019,Atendimento excelente,positivo
4020,"O último chamado me surpreendeu, o atendente me ligou para corrigir a informação transmitida.  Acho q seu nome era Paulo. Muito Bom!",positivo
4021,aguardando aprovação,neutro
4022,Excelente atendimento!,positivo
4023,Atendimento excelente,positivo
4024,"Quero parabenizar  a colaboradora que me atendeu neste chamando, pessoa super profissional, super qualificada.. Parabéns ",positivo
4025,Atendimento pontual e efetivo.,positivo
4026,Atendimento pontual e efetivo.  ,positivo
4027,O atendimento foi muito bom.,positivo
4028,Ótimo atendimento!,positivo
4029,O atendimento foi ótimo. ,positivo
4030,Excelente atendente.,positivo
4031,ÓTIMO ATENDIMENTO.,positivo
4032,Atendimento excelente!,positivo
4033,"Atendente prestativo, educado e esforçado em resolver o problema.",positivo
4034,Excelente atendimento.,positivo
4035,O atendimento foi rápido e eficiente.,positivo
4036,Eficiente,positivo
4037,"Excelente no atendimento, competencia e rapidez.",positivo
4038,"O Lucas me orientou como proceder para corrigir o problema apresentado, ainda longo caminho pela frente até a solução definitiva do propblema. Que neste momento não seria resolvido pela TIC. Obrigada foi muito importante o esclarecimento prestado pelo Lucas.",neutro
4039,"Minha solicitação não foi atendida, porque o chamado foi finalizado?",neutro
4040,Sem acesso ao site do Banco do Brasil,negativo
4041,ótimo atendimento.,positivo
4042,Muito bom atendimento,positivo
4043,Excelente atuação na solução do problema. ,positivo
4044,SEM COMEMTARIO ...........TUDO NORMAL ........,neutro
4045,Parabéns para o técnico Rubens Gomes Carneiro Neto - Y5M1,positivo
4046,Ótimo trabalho.,positivo
4047,Rápido e eficiente. Parabéns!,positivo
4048,45 minutos no telefone e o problema não foi resolvido,negativo
4049,Atendimento nota DEZ!,positivo
4050,Gostaria de Registrar o Excelente Atendimento,positivo
4051,Atendimento excelente!,positivo
4052,A avliação está sendo referente a postura do funcionário.,neutro
4053,O atendimento para a solução do problema foi a contento conforme solicitado.  Muito obrigado e que tenha um ótimo dia.,positivo
4054,Muito bom atendimento.,positivo
4055,EXCELENTE SERVIÇO PRESTADO!,positivo
4056,ATENDENTE MUITOPRESTATIVO E PREPARADO,positivo
4057,ATENDENTE CORDIAL E MUITO ATENCIOSA.,neutro
4058,ATENDENTE CORDIAL E MUITO ATENCIOSA.,positivo
4059,ótimos atendentes,positivo
4060,"A descrição não corresponde ao pedido. A criptografia já está instalada. Gostaria de solicitar a instalação da regra para um determinado usuário, mas a equipe de criptografia não estava disponível.",negativo
4061,Obrigado ao Deleon,positivo
4062,satisfeito,positivo
4063,bOM ATENDIMENTO,positivo
4064,Passou a imprimir somente na bandeja 1 em ambos os lados.,negativo
4065,"Achei o tempo do atendimento muito longo, cerca de 1:40h",neutro
4066,"Apos avaliação de que não há nenhuma indisponibilidade de acesso por parte da Patrobras, foi solictado que eu entrasse em contato com a Receita, para depois informar se ele estão com alguma indisponibilidade, liguei para o telefone informado 146 porém o mesmo é apenas para atendimento de pessoa física, no site da receita não encontrei nenhum outro canal que possa me dar a informação de disponibilidade ou não do site, desta forma ainda continuo com o problema sem solução, ou previsão de adequação para a continuidade de minhas atividades de rotina e priorizações",neutro
4067,rapido e eficiente,positivo
4068,foi informado sobre a indisponibilidade do sap,neutro
4069,"O ATENDIMENTO DO COLABORADOR FOI ÓTIMO, PORÉM, O PROBLEMA NÃO ESTÁ NA ATUAÇÃO DELE, É UM PROBLEMA NO SAP ONDE ELE NÃO TEM COMO RESOLVER.",neutro
4070,Os atendentes nao conheciam muito bem o procedimento de instalacao de software.,positivo
4071,SAP permaneceu indisponível para mim. Atendente informou que SAP estava fora do ar.,neutro
4072,Atendimento rápido e muito bom.,positivo
4073,AGUARDANDO SOLUÇÃO .,neutro
4074,AGUARDANDO SOLUÇÃO PARA O PROBLEMA ,neutro
4075,satisfeito,positivo
4076,O profissional trabalhou com empenho na solução do problema.,positivo
4077,Melhor não poderia  ser PARABÉNS pelo atendimento.,positivo
4078,Observado bastante interesse  para solucionar o problema. ,neutro
4079,"Meu chamado foi atendido em tempo hábil, parabens a TIC.",neutro
4080,Nada a declarar.,neutro
4081,ok,neutro
4082,Muito bom e rápido.,positivo
4083,BEM ATENDIDO,neutro
4084,Continuem assim,neutro
4085,"aguardando compra de material para concluir o reparo, assim como apoio do sop para a manutenção de áreas verdes.",neutro
4086,perda de histórico do movimetnação do documento não sendo possível resgatar infomração,negativo
4087,aguarda reprocessamento,negativo
4088,"Três meses desde o início do chamado até sua finalização é muito tempo. Além disso, meu aparelho pussuía um pacote de dados e me foi emprestado um aparelho sem essa função.",negativo
4089,Parabéns,positivo
4090,O chamado demorou muito para ser resolvido.,neutro
4091,FOI ABERTO UMA SIC20150129,negativo
4092,Trabalho excelente realizado pela TIC.,positivo
4093,Lentidão com evetual ocorrência,negativo
4094,situação com eventual ocorrência,negativo
4095,"erro ainda persiste, gerando atenção extra",negativo
4096,Ficou faltando me entregarem o backup,negativo
4097,"Desencontro de informações, demora para solucionar o problema. ",negativo
4098,LEVOU MAIS DE 10 DIAS PARA ATENDER.,negativo
4099,parabéns a toda equipe,positivo
4100,Importante que o sistema não cometa esse erro novamente.,neutro
4101,Fineza peço retirada e estorno  imediato de  custo de Linha de voz - Disp Corporativo do DEMONSTRATIVO DE SERVIÇOS PRESTADOS PELA TIC - Fevereiro/2015.  Tais serviços são atualmente INEXISTENTES.,negativo
4102,Primeiro chamado de vários feito em 08.06 .. Só hoje por intervenção de alguém da área de telefonia entraram em contato. pessimo,negativo
4103,Demorou uma semana para o problema ser resolvido.,negativo
4104,Vários outros chamados foram abertos.  Só este técnico solucionou de fato,neutro
4105,Ótimo atendimento.,positivo
4106,"Fui muito bem atendido, e apesar da dificuldade do problema, foi resolvido em pouco tempo.",positivo
4107,"Peço que encerrem meu chamado. Pois a matrícula que não migrou, a executante da admissão abriu o chamado e a mesma monitorará seu chamado.",neutro
4108,"Estou extremamente insatisfeito e desapontado com o relatório deste atendimento. O nível de privilégio que solicitei é o mesmo que o meu colega eng. Edson Motta (eng. de automação, mesmo cargo que o meu) possui para poder exercer sua atividade fim, que é dar apoio à manutenção dos equipamentos e sistemas de automação dos gasodutos da Malha SP, tais como: GASAN I e II, GASCAR, GASPAL I e II, GASPAJ, entre outros. Como profissional de automação, com 5 anos de empresa e mais 5 anos de experiência em chão de fábrica, relato que este atendimento e avaliação da TIC sobre o pedido foi incompleto, não levando em conta a situação da Transpetro e da necessidade de resolver os atuais problemas de automação da Malha. A avaliação apenas se limitou ao tema instalação de softwares, o que está muito longe da realidade da empresa que precisa de soluções imediatas para seus atuais problemas. Dessa forma, solicito uma imediata revisão e reabertura deste chamado. ",negativo
4109,Devido o grau da dificuldade e o tempo utilizado para resolver; constatou o empenho e profossionalismo. parabéns,neutro
4110,"Não foi possível realizar a sincronização, portanto tive que importar os contatos manualmente, um a um.",negativo
4111,"Meu horário de trabalho é de 7:30h às 11:30h . Não recebi ligação no meu horário de trabalho. Ou se foi realizado , estava em outra atividade no posto.",negativo
4112,foi aberto uma sic ,negativo
4113,"Foi verificado que foi tirado o atendimento de sobreaviso do sistema Simgás, o que é extremamente prejudicial à operação do CNCO Gás, visto que a nossa operação é initerrupta e esta ferramenta é usada para registro de todas as nossas ações.",negativo
4114,"O sistema não possui atendiemnto de sobreaviso, o que é extremamente prejudicial à operação do CNCO Gás.",negativo
4115,Foram 04 tentativas ,neutro
4116,Tive que pedir novamente - só veio no outro dia,neutro
4117,Ótimo atendimento.,positivo
4118,"Incidente resolvido rápido, e a orientação posterior muito bem explicada.",neutro
4119,Não se tratou de serviço. Foi apenas um empréstimo.Não fui informada que seria um serviço.,neutro
4120,O problema perciste. Estralho que com tec.o micro não apresentou problema. Agora o micro pede que eu faça logon em outro computador.,neutro
4121,ótimo atendiemnto,positivo
4122,"Excelente atendimento e com muita prontidão. O suporte local mostrou-se prestativo e eficaz, resolvendo o problema rapidamente.",positivo
4123,"Só peço um pouco mais de apoio com relação aos horários, tanto do desligamento quanto do religamento. O desligamento só foi iniciado às 17:30h, não 17h como programado. Isso acaba impactando no prazo que temos para desmontagem e montagem do mobiliário e divisórias.",neutro
4124,excelente atendimento,positivo
4125,Com rapidez e eficiência.,positivo
4126,Atendimento bastante eficiente e com a devida atenção ao cliente.,positivo
4127,"O sistema de liberação / aprovação passa por gerencia desconhecida, dificultando o andamento da solicitação  ",negativo
4128,instalado 100%..Parabens,neutro
4129,O atendimetno por essa equipe é sempre muito bom e rápido.,neutro
4130,"Foi solicitado o cancelamento pelo usuário, para o momento.",neutro
4131,Atendimento muito bom !!  Obrigado.,positivo
4132,"Foi resolvido em parte, pois não foi concedido oas acesso informados abaixo relacionados, para os quais efetuei nova solicitação:    Acessos não concedidos:  \\SBCNAS02\CABIUNASPROCGN\PROCES\Reservada\Registros Arquivo Morto\Auditoria de Processo\2007\Grupo A;   \\SBCNAS02\CABIUNASPROCGN\PROCES\Reservada\Registros Arquivo Morto\Auditoria de Processo\2007\Grupo B;   \\SBCNAS02\CABIUNASPROCGN\PROCES\Reservada\Registros Arquivo Morto\Auditoria de Processo\2007\Grupo C;   \\SBCNAS02\CABIUNASPROCGN\PROCES\Reservada\Registros Arquivo Morto\Auditoria de Processo\2007\Grupo D;   \\SBCNAS02\CABIUNASPROCGN\PROCES\Reservada\Registros Arquivo Morto\Auditoria de Processo\2007\Grupo E;   \\SBCNAS02\CABIUNASPROCGN\PROCES\Reservada\Registros Arquivo Morto\Auditoria de Processo\2007\Grupo HA Balança;  \\SBCNAS02\CABIUNAS\PROCGN\PROCES\Reservada\Registros Arquivo Morto\Passagem de Serviço URL   ",neutro
4133,"O atendimento por essa equipe é sempre muito bom e, dentro do possível,  rápido",positivo
4134,"A colaboradora teve grande dificuldade de entender o que foi solicitado e precisou pedir ajuda a outras pessoas e isto tornou o atendimento ainda mais demorado do que o que já estava por conta da lentidão do sistema. No final, ela concluiu que o atendimento era em outra especialidade e transferiu a ligação. Enquanto esperava a transferência para o outro setor ela precisou confirmar pela 4ª ou 5ª vez do que se tratava o meu chamado, que no caso era a respeito da impossibilidade do gerente que atendo aprovar uma SST, e perguntou se o chamado tratava-se um ST (solicitação de transporte) e não é possível que não tenha entendido já que repetiu algumas vezes que era a respeito de uma SST (Solicitação de Serviço Técnico) acredito que seja um problema de memória ou falta de atenção, mas entenda como sugestão já que não cabe a mim analisar.  ",negativo
4135,Atendimento rápido! Problema resolvido!,positivo
4136,Parabéns ao funcionário que resolveu o problema!,positivo
4137,Não recebi retorno,negativo
4138,Não consigo responder pesquisa sem a descrição da solicitação,negativo
4139,Muito bom o atendimento. Rapido e eficaz!,positivo
4140,Agradeçemos pelo atendimento e sem mais comentários...,positivo
4141,Muito Grato Pelo Atendimento Sendo Resolvido de Imediato ,positivo
4142,Gostaria de agradecer o suporte da equipe. Problema solucionado.,positivo
4143,ELOGIO A EFICÁCIA EM ATENDER NOSSA DEMANDA!,positivo
4144,Excelente atendimento. Parabéns à Adriana. Muito Obrigado.,positivo
4145,"O motivo da perda do perfil foi esclarecido, porém não satisfeita com a forma que está parametrizado o sistema. Sem informação para o usuário final no momento da criação de perfil após transferência. Em 90  dias da criação da transferência é deletado o perfil existente.",negativo
4146,Voltou a funcionar normalmente.,neutro
4147,O ponto foi ativado mas a impressora mas o pessoal da Entel tem que pôr a máquina para funcionar,negativo
4148,Quando fechei a turma percebi que as notas não foram migradas e nem o status foi atualizado corretamente,neutro
4149,Ótimo atendimento.,positivo
4150,Ótimo atendimento.,positivo
4151,Ótimo atendimento.,positivo
4152,Fui informado que os problemas são características do modelo do notebook. Não há o que fazer.,neutro
4153,Obrigado pela presteza,positivo
4154,Excelente atendimento,positivo
4155,Rápido e eficiente. Muito bom,positivo
4156,Simplesmente fantástico. Parabéns pelo excelente atendimento.,positivo
4157,Não tivemos o problema de acesso/cadatro no grupo comprador resolvido.,negativo
4158,ÓTIMO SERVIÇO PRESTADO.,positivo
4159,Atendimento ótimo. ,positivo
4160,Rãpido e eficienta,positivo
4161,O Pessoal do apoio local foi muito eficiente,positivo
4162,Pró atividade do atendente em resolver o problema.,positivo
4163,Foi muito demorado para ser solucionado.,negativo
4164,AGRADEÇO AOS TÉCNICOS QUE FORAM EFICIENTES E RÁPIDOS NA RESOLUÇÃO DOS PROBLEMAS.,positivo
4165,"Apesar de não ter sido resolvido, foi esclarecida algumas dúvidas e posteriormente resolvido.",neutro
4166,"Foi solicitado que a edição da auditoria fosse retornada para o editor anterior, uma vez que houve um equívoco no encaminhamento da auditoria. Entretanto, o direito de edição permanece da mesma forma de antes da abertura do chamado.",negativo
4167,A equipe executou a solicitação com grande presteza.,positivo
4168,Os técnicos continuam sem acesso as pastas de rede.,negativo
4169,O problema não foi solucionado. A orientação dada não foi suficiente para solução.,negativo
4170,"Parcialmente,do pinto de vista que falta apenas mais um passo para a resolução,pois solicitei  à facilitadora local a mudança do meu ""Perfil de Usuária"" do sistema na Base de Dados do SD 2000 e estamos aguardando.",neutro
4171,"Por que não é automático, se o desligamento o é?  Se eu era administrador da máquina anterior, e eu fui desligado automáticamente, por que não posso ser ligado automáticamente na nova? Tem que chamar a assitência?",negativo
4172,excelente atendimento,positivo
4173,"O Atendente Finelon, foi excelente, atendimento rápido e solucionou o erro com grande eficiência.",positivo
4174,Continuo no aguardo para a solução do problema.,neutro
4175,Enviei a solicitação faltando dados para o cadastramento.,neutro
4176,Solicitação atendida no prazo necessário.,neutro
4177,"presteza,  conhecimento e proatividade",positivo
4178,Resolveu o problema.,neutro
4179,O atendente solucionou meu problema com rapidez e eficiência.,neutro
4180,obrigado!,positivo
4181,Estava desfigurada(bruno/13303 agilizou a rapidez),neutro
4182,"Finalizaram o chamado sem trocar o mouse. Gostaria que o chamado fosse reaberto, e só finalizado quando, de fato, tratado.",negativo
4183,Muitíssimo grato pelo atendimento.,positivo
4184,Superou as expectativas.,positivo
4185,ainda não foi resolvido.,neutro
4186,Muito bom!,positivo
4187,O técnico foi rápido e eficiente. Parabéns pelo serviço. Obrigado,positivo
4188,muito rápido o atendimento,positivo
4189,Rápido e preciso. Muito bom o atendimento prestado. Parabéns pela presteza !!!,positivo
4190,Serviço rápido e conforme o solicitado,neutro
4191,Atendimento rápido!!! Grata!!,positivo
4192,O atendimento superou as expectativas.,positivo
4193,Grata pelo empenho. ,positivo
4194,"Problema solucionado com sucesso, peço por gentileza que o atendente seja compreensivo quanto a agilidade do processo. Considerando que pela segunda vez preciso fazer esse tipo de operação quis anotar o passo a passo para que não haja necessidade de abrir um novo chamado em outra oportunidade e assim o processo burocrático seja mais rápido.i",positivo
4195,Agradeço a rapidez no atendimento!,positivo
4196,"Foi resolvido em parte, pois era para trocar a rota e o telefone fixo e não para acrescentar",negativo
4197,Serviço rápido e eficiente.,positivo
4198,"pessoal muito eficaz, resolve tudo de imediato",positivo
4199,Rápido atendimento.,positivo
4200,"Sistema não é compatível - Windows XP, não permitiu atualizar o navegador Internet Explorer.",neutro
4201,Excelente profissional. Ótimo atendimento,positivo
4202,"Péssimo. O atendimento durou mais de uma hora e meia; a sincronização de senha não funcionou, a pessoa que prestou o atendimento não soube explicar o motivo nem soube me dizer o que fazer para evitar o mesmo problema nas próximas alterações de senha - e esse era o motivo principal do chamado. A alteração de senha causou um problema no Notes que gerou outro chamado para correção, o que também é inadmissível.",negativo
4203,"Já Reclamei, mas nenhum técnico da TIC me ajuda a fazer da forma correta.",negativo
4204,"Péssimo mais uma vez; o chamado foi aberto em decorrência de um erro causado pelo chamado anterior (troca-senha). Para ""resolver o problema"", foi criado um outro: a necessidade de reinstalar a interligação com o Wordflow. Lamentável a quantidade de desdobramentos decorrentes de um único erro, e lamentável a dificuldade do 881 em resolver um problema para o usuário sem causar outro.",negativo
4205,Ótimo serviço.,positivo
4206,ótimo atendente,positivo
4207,O atendimento foi bom porém não consegui instalar o plugin,neutro
4208,Minha solicitação foi acesso ao ambiente SAP (treinamento e simulador) para concluir treinamento on line (LTE 201) de requisição de transporte RT. Não foi o descrito pela atendente.,negativo
4209,devido o problema ser no servido externo,neutro
